"rank_population","country_en","leader_name_en","local_file","source_url","license","license_url","author","credit","changes_made","download_date"
"11","Japan","Naruhito","assets/final_portraits_3x4/011_JPN_Naruhito.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Emperor%20Naruhito%2020250611%20%2854582524056%2C%20cropped%29.jpg","","","","","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"12","Philippines","Bongbong Marcos","assets/final_portraits_3x4/012_PHL_Bongbong-Marcos.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20of%20President%20Ferdinand%20R.%20Marcos%2C%20Jr%20%28cropped%29.jpg","","","","","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"13","Democratic Republic of the Congo","Félix Tshisekedi","assets/final_portraits_3x4/013_COD_Félix-Tshisekedi.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Felix%20Tshisekedi%2C%20President%20of%20the%20Democratic%20Republic%20of%20the%20Congo%20%2855078564106%29%20%28cropped%29.jpg","","","","","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"14","Ethiopia","Taye Atske Selassie","assets/final_portraits_3x4/014_ETH_Taye-Atske-Selassie.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Taye%20Atske%20Selassie%20MFA%20Portrait.jpg","Public domain","","Ministry of Foreign Affairs of Ethiopia","[1]","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"15","Egypt","Abdel Fattah el-Sisi","assets/final_portraits_3x4/015_EGY_Abdel-Fattah-el-Sisi.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/AbdelFattah%20Elsisi%20%28cropped%29.jpg","CC BY 4.0","","Ministry of Communications and Information Technology in Egypt","Own work","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"16","Vietnam","Tô Lâm","assets/final_portraits_3x4/016_VNM_Tô-Lâm.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/To%20Lam%20May%202025.jpg","CC BY-SA 3.0","","Stanislav Krasilnikov","https://riamediabank.ru/media/8922117.html","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"17","Iran","Mojtaba Khamenei","assets/final_portraits_3x4/017_IRN_Mojtaba-Khamenei.jpg","https://commons.wikimedia.org/wiki/File:Ayatollah_Sayyid_Mojtaba_Khamenei,_10_April_2026_(cropped).jpg","CC BY 4.0 / see Commons","https://creativecommons.org/licenses/by/4.0/","Khamenei.ir / Wikimedia Commons","Mojtaba Khamenei, Supreme Leader of Iran","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"18","Turkey","Recep Tayyip Erdoğan","assets/final_portraits_3x4/018_TUR_Recep-Tayyip-Erdoğan.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Recep%20Tayyip%20Erdogan%20in%20Ukraine.jpg","CC BY 4.0","","PRESIDENT OF UKRAINE  VOLODYMYR ZELENSKYY Official website","https://www.president.gov.ua/photos/robocha-poyizdka-prezidenta-ukrayini-na-lvivshinu-4861","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"19","Germany","Frank-Walter Steinmeier","assets/final_portraits_3x4/019_DEU_Frank-Walter-Steinmeier.jpg","http://commons.wikimedia.org/wiki/Special:FilePath/Frank-Walter%20Steinmeier%20in%202025%20%28cropped%29.jpg","CC BY 4.0","","



Press Service of the President of the Republic of Azerbaijan
","Presidents of Azerbaijan and Germany attended concert at Heydar Aliyev Center","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
"20","United Kingdom","Charles III","assets/final_portraits_3x4/020_GBR_Charles-III.jpg","https://commons.wikimedia.org/wiki/File:King_Charles_III_%28July_2023%29.jpg","Public domain","","White House
","https://twitter.com/POTUS/status/1678465366501064705","cropped to 3:4, resized to 1200x1600, light contrast/color normalization","2026-06-09"
